movieid|average_rank|frequency|imdb_rating|imdb_votes|rank_of_average_rank|rank_of_frequency|rank_of_imdb_rating|rank_of_imdb_votes|bucket_rank
308|5.079207920792079|303.0|7.7|315142.0|156.0|18.0|124.5|43.0|4.0
309|8.732142857142858|112.0|4.9|36083.0|409.0|108.5|428.5|297.0|9.0
310|9.0|11.0|5.4|683.0|417.5|407.5|407.5|456.0|9.0
311|4.305084745762712|59.0|5.4|26710.0|87.0|202.0|407.5|322.0|2.0
312|7.742857142857143|35.0|7.1|39935.0|372.0|277.5|206.0|284.0|8.0
313|5.658823529411765|85.0|6.0|136699.0|210.0|140.5|362.0|141.0|5.0
314|16.0|6.0|3.3|701.0|471.0|445.5|465.0|454.0|10.0
315|10.8|5.0|4.8|5199.0|445.5|452.5|434.0|411.0|10.0
316|6.0|20.0|7.1|7478.0|253.0|345.0|206.0|392.0|6.0
317|5.738738738738738|111.0|8.5|296680.0|222.0|110.5|25.5|51.0|5.0
318|6.455813953488372|215.0|8.6|442359.0|294.0|35.0|15.5|21.0|7.0
319|5.810126582278481|79.0|7.6|92745.0|234.0|159.5|141.0|185.0|5.0
320|7.814814814814815|27.0|7.4|119393.0|375.0|303.5|166.5|156.0|8.0
321|8.090909090909092|22.0|7.2|25208.0|389.0|333.0|193.5|325.0|9.0
322|7.055555555555555|18.0|5.9|13144.0|339.0|359.5|373.5|367.0|8.0
323|4.173333333333333|75.0|7.2|238949.0|74.0|166.0|193.5|72.0|2.0
324|4.035714285714286|28.0|7.3|44633.0|63.0|297.0|180.0|269.0|2.0
325|6.509803921568627|51.0|8.4|65161.0|296.0|218.5|37.5|223.0|7.0
326|4.081632653061225|49.0|7.6|98950.0|66.0|225.5|141.0|176.0|2.0
327|5.798611111111111|144.0|6.8|142821.0|231.0|78.0|246.5|134.0|5.0
328|5.20627802690583|223.0|8.3|522060.0|178.0|33.0|48.0|11.0|4.0
329|3.8376068376068377|117.0|7.5|168531.0|47.0|105.0|155.5|115.0|1.0
330|4.0299625468164795|267.0|8.2|322331.0|62.0|24.0|65.0|42.0|2.0
331|6.674418604651163|43.0|8.2|43574.0|311.0|249.5|65.0|272.0|7.0
332|4.992307692307692|130.0|8.1|295622.0|143.0|97.0|85.0|52.0|4.0
333|4.068181818181818|44.0|6.8|40254.0|65.0|245.0|246.5|282.0|2.0
334|6.397058823529412|68.0|7.4|37640.0|287.0|179.5|166.5|291.0|7.0
335|7.214285714285714|14.0|5.0|685.0|350.5|388.0|423.5|455.0|8.0
336|8.454545454545455|22.0|6.8|11402.0|399.0|333.0|246.5|372.0|9.0
337|5.125|8.0|5.4|4224.0|167.0|430.5|407.5|421.0|4.0
338|5.083333333333333|12.0|5.9|4922.0|160.0|403.5|373.5|412.0|4.0
339|6.6|5.0|6.0|9728.0|306.0|452.5|362.0|380.0|7.0
340|5.113207547169812|159.0|6.6|93753.0|165.0|63.0|276.5|183.0|4.0
341|6.333333333333333|36.0|6.9|40652.0|283.0|273.0|234.0|280.0|6.0
342|6.733333333333333|45.0|7.6|43685.0|320.5|240.5|141.0|271.0|7.0
343|5.666666666666667|9.0|7.6|26784.0|211.0|422.0|141.0|321.0|5.0
344|7.323076923076923|65.0|7.5|24381.0|352.0|185.5|155.5|328.0|8.0
345|4.405797101449275|69.0|6.4|206352.0|95.0|177.0|310.5|90.0|2.0
346|3.027173913043478|184.0|9.0|963458.0|13.0|48.0|1.5|1.0|1.0
347|4.415902140672783|327.0|8.6|599893.0|96.0|15.0|15.5|6.0|3.0
348|4.578947368421052|76.0|7.3|29483.0|109.0|164.5|180.0|311.0|3.0
349|4.014409221902017|347.0|8.5|497559.0|60.0|11.0|25.5|14.0|2.0
350|5.512820512820513|78.0|5.8|19010.0|204.0|161.5|383.5|343.0|5.0
351|7.818181818181818|22.0|5.2|31842.0|376.0|333.0|415.0|307.0|8.0
352|4.555555555555555|81.0|7.1|49690.0|107.0|155.0|206.0|258.0|3.0
353|6.0|17.0|5.9|14931.0|253.0|368.0|373.5|360.0|6.0
354|7.5|2.0|7.3|10258.0|364.5|468.0|180.0|378.0|8.0
355|5.72265625|256.0|8.0|196213.0|217.0|26.0|97.5|96.0|5.0
356|6.0|5.0|6.8|7559.0|253.0|452.5|246.5|391.0|6.0
357|2.948529411764706|136.0|7.5|75239.0|10.0|88.0|155.5|203.0|1.0
358|5.407407407407407|27.0|5.6|10365.0|194.0|303.5|395.5|377.0|5.0
359|13.0|14.0|8.2|38159.0|460.5|388.0|65.0|290.0|10.0
360|6.071428571428571|14.0|6.1|17504.0|261.0|388.0|350.0|351.0|6.0
361|5.797297297297297|74.0|9.0|298134.0|230.0|167.0|1.5|50.0|5.0
362|4.462686567164179|134.0|8.1|138535.0|98.0|91.5|85.0|138.0|3.0
363|5.809523809523809|84.0|8.3|102830.0|233.0|143.0|48.0|173.0|5.0
364|4.403846153846154|52.0|5.9|98378.0|94.0|216.0|373.5|178.0|2.0
365|8.0625|16.0|5.2|3208.0|388.0|374.0|415.0|428.0|9.0
366|3.1341463414634148|82.0|6.5|223145.0|17.0|150.5|295.5|84.0|1.0
367|4.174698795180723|166.0|6.1|44683.0|75.0|54.0|350.0|268.0|2.0
368|4.127659574468085|47.0|4.8|20917.0|69.0|232.5|434.0|336.0|2.0
369|5.985781990521327|211.0|8.1|303834.0|250.0|37.0|85.0|47.0|6.0
370|6.276595744680851|47.0|7.0|46807.0|278.0|232.5|222.0|265.0|6.0
371|5.866666666666666|30.0|6.4|16841.0|242.0|289.5|310.5|352.0|6.0
372|6.7894736842105265|38.0|7.3|48850.0|322.0|264.0|180.0|259.0|7.0
373|4.238095238095238|21.0|6.2|19719.0|80.0|338.5|339.0|341.0|2.0
374|3.289156626506024|83.0|7.2|360758.0|25.0|146.0|193.5|34.0|1.0
375|8.666666666666666|3.0|6.8|17569.0|405.0|464.0|246.5|350.0|9.0
376|4.505050505050505|99.0|7.7|199323.0|100.0|121.0|124.5|95.0|3.0
377|5.15|20.0|6.0|7090.0|171.0|345.0|362.0|394.0|4.0
378|3.901098901098901|91.0|6.5|39983.0|52.0|132.0|295.5|283.0|2.0
379|5.456521739130435|46.0|6.5|61186.0|200.0|237.0|295.5|232.0|5.0
380|10.0|13.0|8.5|187138.0|440.5|397.0|25.5|100.0|10.0
