movieid|average_score|rank_of_average_score|average_rank|frequency|rank_of_frequency|votes|rank_of_votes
282|5.0|423.5|3.975609756097561|82.0|150.5|82133.0|194.0
283|8.9|3.5|3.729559748427673|477.0|1.0|502886.0|12.0
284|8.7|10.0|3.8205128205128207|195.0|40.5|577855.0|7.0
285|4.6|439.0|15.0|1.0|470.0|322.0|462.0
286|7.9|105.0|3.326388888888889|144.0|78.0|173732.0|111.0
287|5.9|373.5|6.203703703703703|54.0|210.5|86158.0|188.0
288|7.6|141.0|2.9877300613496933|163.0|56.0|293930.0|53.0
289|7.4|166.5|2.8260869565217392|69.0|177.0|205202.0|92.0
290|5.4|407.5|9.666666666666666|24.0|321.5|38366.0|288.0
291|8.0|97.5|3.3484848484848486|132.0|93.0|392774.0|28.0
292|7.2|193.5|4.614285714285714|70.0|174.5|48285.0|261.0
293|7.6|141.0|4.264705882352941|68.0|179.5|111528.0|164.0
294|5.8|383.5|7.1|10.0|413.5|7215.0|393.0
295|8.2|65.0|5.935135135135135|185.0|46.5|427628.0|24.0
296|8.1|85.0|4.511811023622047|127.0|101.0|387643.0|30.0
297|5.1|419.5|9.0|18.0|359.5|4576.0|416.0
298|6.2|339.0|6.571428571428571|49.0|225.5|142900.0|133.0
299|6.1|350.0|5.129032258064516|62.0|192.5|52059.0|254.0
300|6.0|362.0|6.833333333333333|6.0|445.5|5237.0|410.0
301|7.6|141.0|6.0|7.0|438.0|16298.0|357.0
302|6.3|325.5|5.825581395348837|86.0|138.5|43496.0|273.0
303|6.8|246.5|5.625|24.0|321.5|23213.0|330.0
304|8.6|15.5|4.96875|160.0|60.5|222417.0|85.0
305|6.2|339.0|6.7272727272727275|44.0|245.0|37488.0|293.0
306|5.0|423.5|8.571428571428571|7.0|438.0|3770.0|424.0
307|8.2|65.0|2.457627118644068|59.0|202.0|114682.0|159.0
308|7.7|124.5|5.079207920792079|303.0|18.0|315142.0|43.0
309|4.9|428.5|8.732142857142858|112.0|108.5|36083.0|297.0
310|5.4|407.5|9.0|11.0|407.5|683.0|456.0
311|5.4|407.5|4.305084745762712|59.0|202.0|26710.0|322.0
312|7.1|206.0|7.742857142857143|35.0|277.5|39935.0|284.0
313|6.0|362.0|5.658823529411765|85.0|140.5|136699.0|141.0
314|3.3|465.0|16.0|6.0|445.5|701.0|454.0
315|4.8|434.0|10.8|5.0|452.5|5199.0|411.0
316|7.1|206.0|6.0|20.0|345.0|7478.0|392.0
